condition,curvature,weighting,loss_aversion,inverse_temperature,label_bias,fit_rmse,converged,boundary_parameters,label_gap,min_answer_mass,layer,answer_mass_below_0_95_count,max_relative_norm_error,requested_norm,scale_family,cosine_readout,cosine_persona,planted_probability_rmse,cpt_predictive_rmse,action_predictive_rmse
curvature_only_sae_preference_k3_sign-1,0.5053388286684324,1.5,0.3,9.526852594565664,-1.2996225738747842,0.30272820996943395,True,"weighting,loss_aversion",0.24370550540646585,0.14497250318527222,50,53,0.001517236323191895,1.0,common_norm,0.059979721903800964,0.06067577749490738,,0.3179787996631456,0.021245316348504736
feature_13142_sign+1,0.5031456251299694,1.4939399564157168,0.3,9.511930401287618,-1.3014014326366838,0.3019910058141002,True,loss_aversion,0.24612781404172865,0.4379286766052246,50,35,0.0008215904235839844,1.0,common_norm,0.014409721828997135,0.011124801822006702,,0.316383190483991,0.012152915663218562
feature_13142_sign-1,0.5050433013208756,1.5,0.3,9.497654696692328,-1.2878597986445137,0.3021512368667173,True,"weighting,loss_aversion",0.24387082840680538,0.5776807069778442,50,29,0.0008131265640258789,1.0,common_norm,0.014409721828997135,0.011124801822006702,,0.3162943638883989,0.012045795755355167
feature_184_sign+1,0.5038388292151658,1.5,0.3,9.508817427835812,-1.3353268222961743,0.30091220258958834,True,"weighting,loss_aversion",0.25214207847208087,0.41487395763397217,50,39,0.0009509317092273317,1.0,common_norm,0.011562476865947247,0.016562631353735924,,0.31474872219849476,0.012188838075262661
feature_184_sign-1,0.504646336297707,1.5,0.3,9.449977686694268,-1.2572413066098924,0.30339548389605536,True,"weighting,loss_aversion",0.23977904386655685,0.6225742101669312,50,23,0.0008622400718116818,1.0,common_norm,0.011562476865947247,0.016562631353735924,,0.3174966880865097,0.012613402711340961
feature_20117_sign+1,0.5024994358195104,1.4877248468837327,0.3,9.494274263990457,-1.275269829367289,0.3024264074559297,True,loss_aversion,0.24232130912380137,0.40141192078590393,50,36,0.0009078970833806821,1.0,common_norm,0.01764444261789322,0.04916633665561676,,0.3168870739044959,0.013453834884117721
feature_20117_sign-1,0.5032647692919522,1.5,0.3,9.533833023710253,-1.2909655611604816,0.30213048172105655,True,"weighting,loss_aversion",0.24496152492611997,0.6225598454475403,50,25,0.0008175365280755909,1.0,common_norm,0.01764444261789322,0.04916633665561676,,0.3160776615563386,0.008517751311518783
feature_31935_sign+1,0.5041575319972671,1.5,0.3,9.557237048338434,-1.2656314317682498,0.30232597591199445,True,"weighting,loss_aversion",0.24307470737960643,0.5623116493225098,50,29,0.0012725579523487074,1.0,common_norm,-0.003823072649538517,0.012799865566194057,,0.3157802563509123,0.014164100821987479
feature_31935_sign-1,0.5045891474071111,1.5,0.3,9.521840365955017,-1.3232364698852743,0.30185468255734377,True,"weighting,loss_aversion",0.2479181303185409,0.5245915651321411,50,31,0.0012340533885446536,1.0,common_norm,-0.003823072649538517,0.012799865566194057,,0.3161119301912014,0.011132770120975917
feature_4237_sign+1,0.5070351158528161,1.5,0.3,9.520098675921888,-1.2760894336618838,0.3032048508721,True,"weighting,loss_aversion",0.24168034958341822,0.37146756052970886,50,35,0.001276673180070187,1.0,common_norm,0.0015463032759726048,0.003613048465922475,,0.3166160827905902,0.013630979126647942
feature_4237_sign-1,0.501660903485136,1.5,0.3,9.525404824972028,-1.3048275352776821,0.30106521075454706,True,"weighting,loss_aversion",0.24841638937677415,0.5029675960540771,50,31,0.0011568677226752033,1.0,common_norm,0.0015463032759726048,0.003613048465922475,,0.31529149215086844,0.008588182658328074
feature_4992_sign+1,0.5017480728874983,1.4962252652037027,0.3,9.60677962029942,-1.341516587824225,0.3009532598697173,True,loss_aversion,0.2530033933287094,0.6666656732559204,50,24,0.0009189838653897997,1.0,common_norm,0.01410654466599226,0.03542528674006462,,0.31440644385021504,0.009610465056936817
feature_4992_sign-1,0.5059312083140171,1.5,0.3,9.447722052696792,-1.249464626093203,0.30399363163964693,True,"weighting,loss_aversion",0.23638821323185585,0.32094231247901917,50,37,0.0008832210998408474,1.0,common_norm,0.01410654466599226,0.03542528674006462,,0.31846495738808267,0.011193947567002809
gradient_l48_sign+1,0.5094669618028366,1.1776569835240127,0.3,9.070521824461581,-1.3631577412337161,0.28402558202063355,True,loss_aversion,0.28258196445509953,0.9983016848564148,48,0,0.0012052059173583984,1.0,common_norm,1.0000001192092896,0.035999879240989685,,0.29623789271541984,0.04803943173515277
