feature,scope,sign,target,cosine_to_readout,discovery_ce,discovery_teacher_rmse,min_answer_mass
55159,final,1,combined,-0.011667696759104729,3.160500624696462,0.4343745641880826,0.9999982714653015
55159,final,1,neutral,-0.011667696759104729,3.272599966568823,0.4249783837914164,0.9999982714653015
30498,final,-1,combined,0.026709500700235367,2.709430945502507,0.33379219064155913,0.9999982118606567
30498,final,-1,neutral,0.026709500700235367,2.8605511586539127,0.3403624377011453,0.9999982118606567
30498,final,1,combined,0.026709500700235367,0.8977638442770284,0.2733657166533997,0.9999982714653015
30498,final,1,neutral,0.026709500700235367,0.9307439573849926,0.2662387959591569,0.9999982714653015
7107,final,-1,combined,0.050126925110816956,3.987362890136535,0.3586170730712432,0.9977974891662598
7107,final,-1,neutral,0.050126925110816956,4.2818993548619275,0.35834319328013586,0.9977974891662598
7107,final,1,combined,0.050126925110816956,2.002806586981243,0.4909600542811275,0.9999406337738037
7107,final,1,neutral,0.050126925110816956,2.024207013226287,0.47191313213721575,0.9999406337738037
18729,final,-1,combined,-0.0017486745491623878,3.032805133642088,0.5531837550582692,0.9999861717224121
18729,final,-1,neutral,-0.0017486745491623878,3.0501946928903374,0.5349563847144128,0.9999861717224121
18729,final,1,combined,-0.0017486745491623878,6.4622854355692665,0.5898398982106939,0.9999982118606567
18729,final,1,neutral,-0.0017486745491623878,6.498172944188565,0.5754855857180446,0.9999982118606567
54533,final,-1,combined,0.0465414896607399,3.8600286610820924,0.41654487863785666,0.9999940395355225
54533,final,-1,neutral,0.0465414896607399,4.046761985226441,0.4084506931960434,0.9999940395355225
54533,final,1,combined,0.0465414896607399,1.1309465919777406,0.28971963616801616,0.9929785132408142
54533,final,1,neutral,0.0465414896607399,1.1517361727795303,0.27962664752643596,0.9929785132408142
17502,final,-1,combined,0.09051515907049179,4.075890098411298,0.34639809385433257,0.9999983310699463
17502,final,-1,neutral,0.09051515907049179,4.43460810339347,0.3545165903357797,0.9999983310699463
17502,final,1,combined,0.09051515907049179,1.168036200112566,0.3815478600652985,0.9954610466957092
17502,final,1,neutral,0.09051515907049179,1.200156394468613,0.36707333624372995,0.9954610466957092
19103,final,-1,combined,0.0033560318406671286,2.932681066838299,0.4495725731193678,0.9999982714653015
19103,final,-1,neutral,0.0033560318406671286,3.0141863173761902,0.44033514228146703,0.9999982714653015
19103,final,1,combined,0.0033560318406671286,2.3923768778013605,0.30647593973052617,0.016624348238110542
19103,final,1,neutral,0.0033560318406671286,2.4620088896641827,0.30787574645912885,0.016624348238110542
58814,final,-1,combined,0.013265285640954971,3.293329895468761,0.3815986165109449,0.9999982118606567
58814,final,-1,neutral,0.013265285640954971,3.5524732699938704,0.3864245694283781,0.9999982118606567
58814,final,1,combined,0.013265285640954971,3.8962976444586266,0.5112434023658332,0.9998079538345337
58814,final,1,neutral,0.013265285640954971,3.9571092687862004,0.49051623899812086,0.9998079538345337
52200,final,-1,combined,0.11000661551952362,5.208040853230676,0.44633675027553205,0.9762999415397644
52200,final,-1,neutral,0.11000661551952362,5.26635597097594,0.4244316458598971,0.9762999415397644
52200,final,1,combined,0.11000661551952362,0.8790500459157847,0.3430949392254542,0.9998242259025574
52200,final,1,neutral,0.11000661551952362,0.8800077411729054,0.31551671335732057,0.9998242259025574
13835,final,-1,combined,0.020046690478920937,18.65570622068216,0.45051170124075046,2.988348110632977e-11
13835,final,-1,neutral,0.020046690478920937,18.681089296311136,0.4316179043425718,2.988348110632977e-11
13835,final,1,combined,0.020046690478920937,20.3708477142118,0.3905194223280231,9.961139308149389e-14
13835,final,1,neutral,0.020046690478920937,20.432816798946867,0.38208970639278633,9.961139308149389e-14
55751,final,-1,combined,0.004028080031275749,1.118885970555467,0.3234327074054553,0.9953433275222778
55751,final,-1,neutral,0.004028080031275749,1.149484918240583,0.30943966739471135,0.9953433275222778
55751,final,1,combined,0.004028080031275749,1.516172063649844,0.3176743672751851,0.9965120553970337
55751,final,1,neutral,0.004028080031275749,1.5967835260910832,0.3130657499141547,0.9965120553970337
4048,final,-1,combined,-0.001448196591809392,2.569184979813467,0.3702794398841209,0.9999982714653015
4048,final,-1,neutral,-0.001448196591809392,2.670277103088391,0.3683619043487225,0.9999982714653015
4048,final,1,combined,-0.001448196591809392,2.3649315536154485,0.332897411149853,0.9999982118606567
4048,final,1,neutral,-0.001448196591809392,2.487766708560854,0.34075979326990763,0.9999982118606567
33545,final,-1,combined,0.02508186176419258,2.4870828283028374,0.3488640506743661,0.9999982714653015
33545,final,-1,neutral,0.02508186176419258,2.583879907157523,0.3498269644951456,0.9999982714653015
33545,final,1,combined,0.02508186176419258,2.202087839218041,0.3166923002964756,0.9999979734420776
33545,final,1,neutral,0.02508186176419258,2.3282779662201656,0.3206704258113812,0.9999979734420776
38516,final,-1,combined,0.02106650359928608,3.296071474343697,0.3449710445809893,0.9999982714653015
38516,final,-1,neutral,0.02106650359928608,3.540210003529366,0.35327964408957013,0.9999982714653015
38516,final,1,combined,0.02106650359928608,1.2108214422712644,0.297188626609403,0.9998775720596313
38516,final,1,neutral,0.02106650359928608,1.2464154892441566,0.29168633776991953,0.9998775720596313
18195,final,-1,combined,0.023116346448659897,3.823071878330279,0.41422118724140344,0.9999979734420776
18195,final,-1,neutral,0.023116346448659897,3.9611340587742268,0.39892818682745573,0.9999979734420776
